link, map
https://gggreplays.com/matches/160226, Fracture LE
https://gggreplays.com/matches/160222, Blueshift LE
https://gggreplays.com/matches/160220, Cerulean Fall LE
https://gggreplays.com/matches/160219, Cerulean Fall LE
https://gggreplays.com/matches/159996, Cerulean Fall LE
https://gggreplays.com/matches/159071, Acid Plant LE
https://gggreplays.com/matches/158167, Para Site LE
https://gggreplays.com/matches/157908, Lost and Found LE
https://gggreplays.com/matches/157893, Para Site LE
https://gggreplays.com/matches/157875, Fracture LE
https://gggreplays.com/matches/157870, Dreamcatcher LE
https://gggreplays.com/matches/157864, Cerulean Fall LE
https://gggreplays.com/matches/157226, Acid Plant LE
https://gggreplays.com/matches/156896, Acid Plant LE
https://gggreplays.com/matches/156881, Lost and Found LE
https://gggreplays.com/matches/156593, Para Site LE
https://gggreplays.com/matches/158905, Lost and Found LE
https://gggreplays.com/matches/158907, Blueshift LE
https://gggreplays.com/matches/155883, Lost and Found LE
https://gggreplays.com/matches/155453, Para Site LE
https://gggreplays.com/matches/153787, Blueshift LE
https://gggreplays.com/matches/153785, Dreamcatcher LE
https://gggreplays.com/matches/153795, Fracture LE
https://gggreplays.com/matches/154057, Fracture LE
https://gggreplays.com/matches/156329, Blueshift LE
https://gggreplays.com/matches/150061, Dreamcatcher LE
https://gggreplays.com/matches/150060, Blueshift LE
https://gggreplays.com/matches/150049, Cerulean Fall LE
https://gggreplays.com/matches/150044, Acid Plant LE
https://gggreplays.com/matches/150021, Blueshift LE
https://gggreplays.com/matches/149999, Cerulean Fall LE
https://gggreplays.com/matches/149994, Dreamcatcher LE
https://gggreplays.com/matches/149734, Lost and Found LE
https://gggreplays.com/matches/149730, Para Site LE
https://gggreplays.com/matches/156331, Cerulean Fall LE
https://gggreplays.com/matches/149595, Lost and Found LE
https://gggreplays.com/matches/156413, Lost and Found LE
https://gggreplays.com/matches/147850, Acid Plant LE
https://gggreplays.com/matches/147683, Blueshift LE
https://gggreplays.com/matches/156330, Cerulean Fall LE
https://gggreplays.com/matches/154113, Acid Plant LE
https://gggreplays.com/matches/146918, Para Site LE
https://gggreplays.com/matches/146528, Fracture LE
https://gggreplays.com/matches/156353, Dreamcatcher LE
https://gggreplays.com/matches/146482, Dreamcatcher LE
https://gggreplays.com/matches/154127, Para Site LE
https://gggreplays.com/matches/146625, Lost and Found LE
https://gggreplays.com/matches/146367, Lost and Found LE
https://gggreplays.com/matches/146368, Cerulean Fall LE
https://gggreplays.com/matches/146369, Blueshift LE
