,expansion,time_since_played,game_time,map_img,download_link
0,Legacy of the Void,played 1 day ago,"9 min game
          
        ",http://ggg-us-minimaps-dev.s3.amazonaws.com/95f3ee8a7cb3efb122411968cb3183901eba2a2d2f1a5633f61d42f513dbb40d_100.png,https://gggreplays.com//matches/160226/replay
1,Legacy of the Void,played 1 day ago,"9 min game
          
        ",http://ggg-us-minimaps-dev.s3.amazonaws.com/29ad84174646a63d9c7c66aeb7ea6bfeae61ec76bb7abc7beae3c9f4f12933e8_100.png,https://gggreplays.com//matches/160222/replay
2,Legacy of the Void,played 1 day ago,"8 min game
          
        ",http://ggg-us-minimaps-dev.s3.amazonaws.com/416e8115ca67a08192d9f360170b787418f28c0e707d925a57f130e919423ca7_100.png,https://gggreplays.com//matches/160220/replay
3,Legacy of the Void,played 1 day ago,"9 min game
          
        ",http://ggg-us-minimaps-dev.s3.amazonaws.com/416e8115ca67a08192d9f360170b787418f28c0e707d925a57f130e919423ca7_100.png,https://gggreplays.com//matches/160219/replay
4,Legacy of the Void,played 3 days ago,"11 min game
          
        ",http://ggg-us-minimaps-dev.s3.amazonaws.com/076d65577484ccb9a2e82733108daf84e84458456be96b8d87f8f8a642b65fd4_100.png,https://gggreplays.com//matches/159996/replay
5,Legacy of the Void,played 3 days ago,"13 min game
          
        ",http://ggg-us-minimaps-dev.s3.amazonaws.com/4f007e43dbce876cb5eb9be708061a85c8eabd6c1c487b6a7f9a135677ba789c_100.png,https://gggreplays.com//matches/159071/replay
6,Legacy of the Void,played 6 days ago,"9 min game
          
        ",http://ggg-us-minimaps-dev.s3.amazonaws.com/afdf0fd1a92c6c425953d3bbdef8504d0723acba859bcec0e0baca2684d229d5_100.png,https://gggreplays.com//matches/158167/replay
7,Legacy of the Void,played 6 days ago,"27 min game
          
        ",http://ggg-us-minimaps-dev.s3.amazonaws.com/a55834138055daca10eadc20af89066a2cd4334def00b0f07a212ef16c01e1a3_100.png,https://gggreplays.com//matches/157908/replay
8,Legacy of the Void,played 6 days ago,"13 min game
          
        ",http://ggg-us-minimaps-dev.s3.amazonaws.com/afdf0fd1a92c6c425953d3bbdef8504d0723acba859bcec0e0baca2684d229d5_100.png,https://gggreplays.com//matches/157893/replay
9,Legacy of the Void,played 7 days ago,"28 min game
          
        ",http://ggg-us-minimaps-dev.s3.amazonaws.com/8540f961f29cada124050ee3df1b97cff2201fc1b0c4a676b7a39763a68cd573_100.png,https://gggreplays.com//matches/157875/replay
10,Legacy of the Void,played 7 days ago,"13 min game
          
        ",http://ggg-us-minimaps-dev.s3.amazonaws.com/ba1c9b88234500f63a237d86069dd17ac55e83a713c45ba23916853831376e18_100.png,https://gggreplays.com//matches/157870/replay
11,Legacy of the Void,played 7 days ago,"12 min game
          
        ",http://ggg-us-minimaps-dev.s3.amazonaws.com/076d65577484ccb9a2e82733108daf84e84458456be96b8d87f8f8a642b65fd4_100.png,https://gggreplays.com//matches/157864/replay
12,Legacy of the Void,played 7 days ago,"17 min game
          
        ",http://ggg-us-minimaps-dev.s3.amazonaws.com/4f007e43dbce876cb5eb9be708061a85c8eabd6c1c487b6a7f9a135677ba789c_100.png,https://gggreplays.com//matches/157226/replay
13,Legacy of the Void,played 8 days ago,"10 min game
          
        ",http://ggg-us-minimaps-dev.s3.amazonaws.com/4f007e43dbce876cb5eb9be708061a85c8eabd6c1c487b6a7f9a135677ba789c_100.png,https://gggreplays.com//matches/156896/replay
14,Legacy of the Void,played 8 days ago,"6 min game
          
        ",http://ggg-us-minimaps-dev.s3.amazonaws.com/a55834138055daca10eadc20af89066a2cd4334def00b0f07a212ef16c01e1a3_100.png,https://gggreplays.com//matches/156881/replay
