link, map
https://gggreplays.com/matches/160658, Lost and Found LE
https://gggreplays.com/matches/160686, Blueshift LE
https://gggreplays.com/matches/160641, Lost and Found LE
https://gggreplays.com/matches/160639, Dreamcatcher LE
https://gggreplays.com/matches/160618, Blueshift LE
https://gggreplays.com/matches/160620, Blueshift LE
https://gggreplays.com/matches/160616, Lost and Found LE
https://gggreplays.com/matches/160611, Acid Plant LE
https://gggreplays.com/matches/160582, Acid Plant LE
https://gggreplays.com/matches/160584, Blueshift LE
https://gggreplays.com/matches/160583, Cerulean Fall LE
https://gggreplays.com/matches/160555, Acid Plant LE
https://gggreplays.com/matches/160543, Lost and Found LE
https://gggreplays.com/matches/160655, Fracture LE
https://gggreplays.com/matches/160539, Para Site LE
https://gggreplays.com/matches/160554, Dreamcatcher LE
https://gggreplays.com/matches/160551, Blueshift LE
https://gggreplays.com/matches/160480, Dreamcatcher LE
https://gggreplays.com/matches/160470, Cerulean Fall LE
https://gggreplays.com/matches/160474, Acid Plant LE
https://gggreplays.com/matches/160456, Cerulean Fall LE
https://gggreplays.com/matches/160458, Cerulean Fall LE
https://gggreplays.com/matches/160459, Fracture LE
https://gggreplays.com/matches/160445, Blueshift LE
https://gggreplays.com/matches/160440, Dreamcatcher LE
https://gggreplays.com/matches/160423, Blueshift LE
https://gggreplays.com/matches/160399, Lost and Found LE
https://gggreplays.com/matches/160421, Fracture LE
https://gggreplays.com/matches/160411, Blueshift LE
https://gggreplays.com/matches/160410, Acid Plant LE
https://gggreplays.com/matches/160415, Cerulean Fall LE
https://gggreplays.com/matches/160413, Acid Plant LE
https://gggreplays.com/matches/160412, Blueshift LE
https://gggreplays.com/matches/160385, Blueshift LE
https://gggreplays.com/matches/160414, Acid Plant LE
https://gggreplays.com/matches/160381, Blueshift LE
https://gggreplays.com/matches/160418, Fracture LE
https://gggreplays.com/matches/160416, Acid Plant LE
https://gggreplays.com/matches/160417, Cerulean Fall LE
https://gggreplays.com/matches/160419, Lost and Found LE
https://gggreplays.com/matches/160405, Lost and Found LE
https://gggreplays.com/matches/160406, Blueshift LE
https://gggreplays.com/matches/160409, Acid Plant LE
https://gggreplays.com/matches/160408, Para Site LE
https://gggreplays.com/matches/160407, Blueshift LE
https://gggreplays.com/matches/160366, Para Site LE
https://gggreplays.com/matches/160687, Blueshift LE
https://gggreplays.com/matches/160332, Fracture LE
https://gggreplays.com/matches/160333, Blueshift LE
https://gggreplays.com/matches/160328, Fracture LE
https://gggreplays.com/matches/160585, Fracture LE
https://gggreplays.com/matches/160274, Dreamcatcher LE
https://gggreplays.com/matches/160272, Para Site LE
https://gggreplays.com/matches/160254, Para Site LE
https://gggreplays.com/matches/160252, Dreamcatcher LE
https://gggreplays.com/matches/160249, Fracture LE
https://gggreplays.com/matches/160253, Acid Plant LE
https://gggreplays.com/matches/160247, Acid Plant LE
https://gggreplays.com/matches/160246, Cerulean Fall LE (Test)
https://gggreplays.com/matches/160278, Acid Plant LE
https://gggreplays.com/matches/160240, Para Site LE
https://gggreplays.com/matches/160230, Fracture LE
https://gggreplays.com/matches/160228, Lost and Found LE
https://gggreplays.com/matches/160231, Cerulean Fall LE
https://gggreplays.com/matches/160225, Fracture LE
https://gggreplays.com/matches/160223, Lost and Found LE
https://gggreplays.com/matches/160224, Fracture LE
https://gggreplays.com/matches/160221, Lost and Found LE
https://gggreplays.com/matches/160127, Fracture LE
https://gggreplays.com/matches/160116, Para Site LE
https://gggreplays.com/matches/160115, Fracture LE
https://gggreplays.com/matches/160103, Cerulean Fall LE
https://gggreplays.com/matches/160092, Fracture LE
https://gggreplays.com/matches/160093, Fracture LE
https://gggreplays.com/matches/160090, Blueshift LE
https://gggreplays.com/matches/160082, Acid Plant LE
https://gggreplays.com/matches/160079, Acid Plant LE
https://gggreplays.com/matches/160067, Blueshift LE
https://gggreplays.com/matches/160062, Cerulean Fall LE
https://gggreplays.com/matches/160057, Cerulean Fall LE
https://gggreplays.com/matches/160055, Lost and Found LE
https://gggreplays.com/matches/160078, Blueshift LE
https://gggreplays.com/matches/160035, Blueshift LE
https://gggreplays.com/matches/160071, Acid Plant LE
https://gggreplays.com/matches/160008, Dreamcatcher LE
https://gggreplays.com/matches/160041, Para Site LE
https://gggreplays.com/matches/160005, Dreamcatcher LE
https://gggreplays.com/matches/160004, Lost and Found LE
https://gggreplays.com/matches/160003, Blueshift LE
https://gggreplays.com/matches/160058, Acid Plant LE
https://gggreplays.com/matches/160053, Cerulean Fall LE
https://gggreplays.com/matches/159990, Cerulean Fall LE
https://gggreplays.com/matches/159988, Acid Plant LE
https://gggreplays.com/matches/159987, Dreamcatcher LE
https://gggreplays.com/matches/159986, Blueshift LE
https://gggreplays.com/matches/159982, Lost and Found LE
https://gggreplays.com/matches/160046, Para Site LE
https://gggreplays.com/matches/159971, Cerulean Fall LE
https://gggreplays.com/matches/160688, Blueshift LE
https://gggreplays.com/matches/160689, Blueshift LE
https://gggreplays.com/matches/159956, Dreamcatcher LE
https://gggreplays.com/matches/159955, Para Site LE
https://gggreplays.com/matches/159953, Fracture LE
https://gggreplays.com/matches/159951, Fracture LE
https://gggreplays.com/matches/159950, Blueshift LE
https://gggreplays.com/matches/159900, Acid Plant LE
https://gggreplays.com/matches/159867, Lost and Found LE
https://gggreplays.com/matches/159868, Fracture LE
https://gggreplays.com/matches/159871, Para Site LE
https://gggreplays.com/matches/159862, Acid Plant LE
https://gggreplays.com/matches/159874, Blueshift LE
https://gggreplays.com/matches/159876, Lost and Found LE
https://gggreplays.com/matches/159872, Cerulean Fall LE
https://gggreplays.com/matches/159870, Fracture LE
https://gggreplays.com/matches/159869, Cerulean Fall LE
https://gggreplays.com/matches/159875, Lost and Found LE
https://gggreplays.com/matches/159873, Cerulean Fall LE
https://gggreplays.com/matches/159831, Acid Plant LE
https://gggreplays.com/matches/159879, Blueshift LE
https://gggreplays.com/matches/159877, Blueshift LE
https://gggreplays.com/matches/159835, Acid Plant LE
https://gggreplays.com/matches/159878, Para Site LE
https://gggreplays.com/matches/159884, Lost and Found LE
https://gggreplays.com/matches/159830, Cerulean Fall LE
https://gggreplays.com/matches/159880, Fracture LE
https://gggreplays.com/matches/159881, Blueshift LE
https://gggreplays.com/matches/159883, Blueshift LE
https://gggreplays.com/matches/159882, Fracture LE
https://gggreplays.com/matches/159885, Fracture LE
https://gggreplays.com/matches/159886, Blueshift LE
https://gggreplays.com/matches/159888, Blueshift LE
https://gggreplays.com/matches/159887, Blueshift LE
https://gggreplays.com/matches/159891, Fracture LE
https://gggreplays.com/matches/159889, Cerulean Fall LE
https://gggreplays.com/matches/159786, Lost and Found LE
https://gggreplays.com/matches/159892, Para Site LE
https://gggreplays.com/matches/159890, Blueshift LE
https://gggreplays.com/matches/159893, Blueshift LE
https://gggreplays.com/matches/159895, Cerulean Fall LE
https://gggreplays.com/matches/159894, Blueshift LE
https://gggreplays.com/matches/159532, Blueshift LE
https://gggreplays.com/matches/159531, Acid Plant LE
https://gggreplays.com/matches/159528, Blueshift LE
https://gggreplays.com/matches/159896, Fracture LE
https://gggreplays.com/matches/159527, Para Site LE
https://gggreplays.com/matches/159897, Fracture LE
https://gggreplays.com/matches/159525, Blueshift LE
https://gggreplays.com/matches/159898, Fracture LE
https://gggreplays.com/matches/159522, Acid Plant LE
https://gggreplays.com/matches/159519, Blueshift LE
https://gggreplays.com/matches/159521, Cerulean Fall LE
https://gggreplays.com/matches/159514, Blueshift LE
https://gggreplays.com/matches/159513, Para Site LE
https://gggreplays.com/matches/159520, Blueshift LE
https://gggreplays.com/matches/159512, Acid Plant LE
https://gggreplays.com/matches/159509, Dreamcatcher LE
https://gggreplays.com/matches/159511, Acid Plant LE
https://gggreplays.com/matches/159510, Para Site LE
https://gggreplays.com/matches/159507, Lost and Found LE
https://gggreplays.com/matches/159503, Cerulean Fall LE
https://gggreplays.com/matches/160349, Blueshift LE
https://gggreplays.com/matches/159501, Acid Plant LE
https://gggreplays.com/matches/159500, Cerulean Fall LE
https://gggreplays.com/matches/160350, Cerulean Fall LE
https://gggreplays.com/matches/160357, Dreamcatcher LE
https://gggreplays.com/matches/159491, Blueshift LE
https://gggreplays.com/matches/160351, Cerulean Fall LE
https://gggreplays.com/matches/159492, Lost and Found LE
https://gggreplays.com/matches/159494, Lost and Found LE
https://gggreplays.com/matches/159487, Dreamcatcher LE
https://gggreplays.com/matches/160354, Cerulean Fall LE
https://gggreplays.com/matches/159496, Lost and Found LE
https://gggreplays.com/matches/159478, Cerulean Fall LE
https://gggreplays.com/matches/159470, Blueshift LE
https://gggreplays.com/matches/160353, Acid Plant LE
https://gggreplays.com/matches/159469, Lost and Found LE
https://gggreplays.com/matches/159464, Acid Plant LE
https://gggreplays.com/matches/160352, Dreamcatcher LE
https://gggreplays.com/matches/159829, Lost and Found LE
https://gggreplays.com/matches/159408, Lost and Found LE
https://gggreplays.com/matches/160358, Lost and Found LE
https://gggreplays.com/matches/159832, Para Site LE
https://gggreplays.com/matches/159834, Blueshift LE
https://gggreplays.com/matches/160356, Blueshift LE
https://gggreplays.com/matches/159081, Cerulean Fall LE
https://gggreplays.com/matches/159843, Cerulean Fall LE
https://gggreplays.com/matches/159073, Lost and Found LE
https://gggreplays.com/matches/159063, Dreamcatcher LE
https://gggreplays.com/matches/160355, Fracture LE
https://gggreplays.com/matches/159844, Cerulean Fall LE
https://gggreplays.com/matches/160138, Dreamcatcher LE
https://gggreplays.com/matches/159061, Acid Plant LE
https://gggreplays.com/matches/160360, Lost and Found LE
https://gggreplays.com/matches/159912, Cerulean Fall LE
https://gggreplays.com/matches/159062, Lost and Found LE
https://gggreplays.com/matches/159916, Para Site LE
https://gggreplays.com/matches/159065, Acid Plant LE
https://gggreplays.com/matches/160361, Cerulean Fall LE
https://gggreplays.com/matches/159078, Fracture LE
https://gggreplays.com/matches/159037, Cerulean Fall LE
https://gggreplays.com/matches/159035, Lost and Found LE
https://gggreplays.com/matches/159032, Acid Plant LE
https://gggreplays.com/matches/159030, Fracture LE
https://gggreplays.com/matches/160363, Fracture LE
https://gggreplays.com/matches/159060, Dreamcatcher LE
https://gggreplays.com/matches/159064, Dreamcatcher LE
https://gggreplays.com/matches/159025, Dreamcatcher LE
https://gggreplays.com/matches/159026, Fracture LE
https://gggreplays.com/matches/159067, Cerulean Fall LE
https://gggreplays.com/matches/160364, Cerulean Fall LE
https://gggreplays.com/matches/159022, Dreamcatcher LE
https://gggreplays.com/matches/159017, Para Site LE
https://gggreplays.com/matches/159016, Blueshift LE
https://gggreplays.com/matches/159069, Dreamcatcher LE
https://gggreplays.com/matches/159013, Acid Plant LE
https://gggreplays.com/matches/160365, Para Site LE
https://gggreplays.com/matches/159070, Cerulean Fall LE
https://gggreplays.com/matches/159011, Lost and Found LE
https://gggreplays.com/matches/160362, Fracture LE
https://gggreplays.com/matches/159055, Fracture LE
https://gggreplays.com/matches/159000, Dreamcatcher LE
https://gggreplays.com/matches/159001, Acid Plant LE
https://gggreplays.com/matches/158999, Para Site LE
https://gggreplays.com/matches/158998, Blueshift LE
https://gggreplays.com/matches/158997, Acid Plant LE
https://gggreplays.com/matches/159086, Blueshift LE
https://gggreplays.com/matches/158989, Blueshift LE
https://gggreplays.com/matches/158987, Blueshift LE
https://gggreplays.com/matches/158986, Cerulean Fall LE
https://gggreplays.com/matches/159084, Blueshift LE
https://gggreplays.com/matches/158985, Fracture LE
https://gggreplays.com/matches/159653, Para Site LE
https://gggreplays.com/matches/158983, Lost and Found LE
https://gggreplays.com/matches/158981, Fracture LE
https://gggreplays.com/matches/158980, Blueshift LE
https://gggreplays.com/matches/158979, Lost and Found LE
https://gggreplays.com/matches/158974, Cerulean Fall LE
https://gggreplays.com/matches/158975, Para Site LE
https://gggreplays.com/matches/158972, Cerulean Fall LE
https://gggreplays.com/matches/158968, Cerulean Fall LE
https://gggreplays.com/matches/158965, Acid Plant LE
https://gggreplays.com/matches/158942, Dreamcatcher LE
https://gggreplays.com/matches/158945, Fracture LE
https://gggreplays.com/matches/158931, Lost and Found LE
https://gggreplays.com/matches/158943, Lost and Found LE
https://gggreplays.com/matches/158929, Blueshift LE
https://gggreplays.com/matches/158925, Acid Plant LE
https://gggreplays.com/matches/158921, Para Site LE
https://gggreplays.com/matches/158915, Para Site LE
https://gggreplays.com/matches/158857, Dreamcatcher LE
https://gggreplays.com/matches/158822, Blueshift LE
https://gggreplays.com/matches/158823, Blueshift LE
https://gggreplays.com/matches/158821, Cerulean Fall LE
https://gggreplays.com/matches/158826, Fracture LE
https://gggreplays.com/matches/158819, Cerulean Fall LE
https://gggreplays.com/matches/158817, Acid Plant LE
https://gggreplays.com/matches/158825, Fracture LE
https://gggreplays.com/matches/158807, Lost and Found LE
https://gggreplays.com/matches/158806, Para Site LE
https://gggreplays.com/matches/158805, Lost and Found LE
https://gggreplays.com/matches/158803, Lost and Found LE
https://gggreplays.com/matches/158795, Para Site LE
https://gggreplays.com/matches/158788, Fracture LE
https://gggreplays.com/matches/158786, Cerulean Fall LE
https://gggreplays.com/matches/159841, Para Site LE
https://gggreplays.com/matches/159836, Para Site LE
https://gggreplays.com/matches/159842, Para Site LE
https://gggreplays.com/matches/159838, Para Site LE
https://gggreplays.com/matches/159837, Cerulean Fall LE
https://gggreplays.com/matches/159839, Acid Plant LE
https://gggreplays.com/matches/159840, Lost and Found LE
https://gggreplays.com/matches/159847, Blueshift LE
https://gggreplays.com/matches/159845, Fracture LE
https://gggreplays.com/matches/158752, Para Site LE
https://gggreplays.com/matches/158750, Para Site LE
https://gggreplays.com/matches/158715, Blueshift LE
https://gggreplays.com/matches/158708, Blueshift LE
https://gggreplays.com/matches/158694, Para Site LE
https://gggreplays.com/matches/158686, Para Site LE
https://gggreplays.com/matches/158684, Acid Plant LE
https://gggreplays.com/matches/158683, Dreamcatcher LE
https://gggreplays.com/matches/158678, Lost and Found LE
https://gggreplays.com/matches/158949, Cerulean Fall LE
https://gggreplays.com/matches/158677, Para Site LE
https://gggreplays.com/matches/158952, Cerulean Fall LE
https://gggreplays.com/matches/158674, Lost and Found LE
https://gggreplays.com/matches/159850, Para Site LE
https://gggreplays.com/matches/158725, Cerulean Fall LE
https://gggreplays.com/matches/158672, Acid Plant LE
https://gggreplays.com/matches/158671, Lost and Found LE
https://gggreplays.com/matches/158717, Dreamcatcher LE
https://gggreplays.com/matches/158670, Cerulean Fall LE
https://gggreplays.com/matches/158951, Fracture LE
https://gggreplays.com/matches/158964, Cerulean Fall LE
https://gggreplays.com/matches/158719, Dreamcatcher LE
https://gggreplays.com/matches/158660, Para Site LE
https://gggreplays.com/matches/158659, Para Site LE
https://gggreplays.com/matches/158657, Para Site LE
https://gggreplays.com/matches/158661, Fracture LE
https://gggreplays.com/matches/158655, Fracture LE
https://gggreplays.com/matches/158652, Blueshift LE
https://gggreplays.com/matches/158649, Dreamcatcher LE
https://gggreplays.com/matches/158647, Para Site LE
https://gggreplays.com/matches/158643, Dreamcatcher LE
https://gggreplays.com/matches/158642, Blueshift LE
https://gggreplays.com/matches/158640, Dreamcatcher LE
https://gggreplays.com/matches/158757, Dreamcatcher LE
https://gggreplays.com/matches/158639, Acid Plant LE
https://gggreplays.com/matches/158637, Blueshift LE
https://gggreplays.com/matches/158756, Fracture LE
https://gggreplays.com/matches/158629, Para Site LE
https://gggreplays.com/matches/158758, Cerulean Fall LE
https://gggreplays.com/matches/158612, Acid Plant LE
https://gggreplays.com/matches/158607, Lost and Found LE
https://gggreplays.com/matches/158761, Lost and Found LE
https://gggreplays.com/matches/158608, Fracture LE
https://gggreplays.com/matches/158611, Fracture LE
https://gggreplays.com/matches/158959, Blueshift LE
https://gggreplays.com/matches/158599, Dreamcatcher LE
https://gggreplays.com/matches/158594, Cerulean Fall LE
https://gggreplays.com/matches/158593, Blueshift LE
https://gggreplays.com/matches/158614, Acid Plant LE
https://gggreplays.com/matches/158596, Lost and Found LE
https://gggreplays.com/matches/158590, Acid Plant LE
https://gggreplays.com/matches/158584, Lost and Found LE
https://gggreplays.com/matches/158962, Lost and Found LE
https://gggreplays.com/matches/158577, Acid Plant LE
https://gggreplays.com/matches/158558, Lost and Found LE
https://gggreplays.com/matches/158557, Fracture LE
https://gggreplays.com/matches/158559, Blueshift LE
https://gggreplays.com/matches/158555, Blueshift LE
https://gggreplays.com/matches/158552, Para Site LE
https://gggreplays.com/matches/158538, Cerulean Fall LE
https://gggreplays.com/matches/158534, Lost and Found LE
https://gggreplays.com/matches/158551, Cerulean Fall LE
https://gggreplays.com/matches/158544, Fracture LE
https://gggreplays.com/matches/158533, Blueshift LE
https://gggreplays.com/matches/158546, Cerulean Fall LE
https://gggreplays.com/matches/158527, Para Site LE
https://gggreplays.com/matches/158545, Blueshift LE
https://gggreplays.com/matches/158616, Lost and Found LE
https://gggreplays.com/matches/158526, Para Site LE
