link, map
https://gggreplays.com/matches/160475, Para Site LE
https://gggreplays.com/matches/160486, Acid Plant LE
https://gggreplays.com/matches/160484, Lost and Found LE
https://gggreplays.com/matches/160489, Lost and Found LE
https://gggreplays.com/matches/160498, Dreamcatcher LE
https://gggreplays.com/matches/160488, Cerulean Fall LE
https://gggreplays.com/matches/160490, Dreamcatcher LE
https://gggreplays.com/matches/160494, Dreamcatcher LE
https://gggreplays.com/matches/160492, Lost and Found LE
https://gggreplays.com/matches/160493, Cerulean Fall LE
https://gggreplays.com/matches/160428, Fracture LE
https://gggreplays.com/matches/160425, Blueshift LE
https://gggreplays.com/matches/160430, Cerulean Fall LE
https://gggreplays.com/matches/160427, Para Site LE
https://gggreplays.com/matches/160426, Cerulean Fall LE
https://gggreplays.com/matches/160371, Cerulean Fall LE
https://gggreplays.com/matches/160372, Dreamcatcher LE
https://gggreplays.com/matches/160373, Fracture LE
https://gggreplays.com/matches/160325, Fracture LE
https://gggreplays.com/matches/160290, Blueshift LE
https://gggreplays.com/matches/160286, Cerulean Fall LE
https://gggreplays.com/matches/160322, Para Site LE
https://gggreplays.com/matches/160320, Blueshift LE
https://gggreplays.com/matches/160321, Fracture LE
https://gggreplays.com/matches/160319, Cerulean Fall LE
https://gggreplays.com/matches/160324, Blueshift LE
https://gggreplays.com/matches/160323, Fracture LE
https://gggreplays.com/matches/160266, Fracture LE
https://gggreplays.com/matches/160255, Dreamcatcher LE
https://gggreplays.com/matches/160248, Fracture LE
https://gggreplays.com/matches/160245, Acid Plant LE
https://gggreplays.com/matches/160243, Cerulean Fall LE
https://gggreplays.com/matches/160239, Lost and Found LE
https://gggreplays.com/matches/160236, Fracture LE
https://gggreplays.com/matches/160229, Acid Plant LE
https://gggreplays.com/matches/160501, Blueshift LE
https://gggreplays.com/matches/160495, Fracture LE
https://gggreplays.com/matches/160497, Acid Plant LE
https://gggreplays.com/matches/160123, Fracture LE
https://gggreplays.com/matches/160502, Para Site LE
https://gggreplays.com/matches/160120, Blueshift LE
https://gggreplays.com/matches/160118, Cerulean Fall LE
https://gggreplays.com/matches/160496, Dreamcatcher LE
https://gggreplays.com/matches/160499, Blueshift LE
https://gggreplays.com/matches/160238, Cerulean Fall LE
https://gggreplays.com/matches/160080, Acid Plant LE
https://gggreplays.com/matches/160099, Cerulean Fall LE
