link, map
https://gggreplays.com/matches/160549, Fracture LE
https://gggreplays.com/matches/160545, Dreamcatcher LE
https://gggreplays.com/matches/160542, Blueshift LE
https://gggreplays.com/matches/160540, Lost and Found LE
https://gggreplays.com/matches/160534, Blueshift LE
https://gggreplays.com/matches/160482, Para Site LE
https://gggreplays.com/matches/160481, Lost and Found LE
https://gggreplays.com/matches/160478, Acid Plant LE
https://gggreplays.com/matches/160471, Lost and Found LE
https://gggreplays.com/matches/160468, Lost and Found LE
https://gggreplays.com/matches/160466, Dreamcatcher LE
https://gggreplays.com/matches/160464, Dreamcatcher LE
https://gggreplays.com/matches/160473, Para Site LE
https://gggreplays.com/matches/160472, Blueshift LE
https://gggreplays.com/matches/160463, Dreamcatcher LE
https://gggreplays.com/matches/160403, Lost and Found LE
https://gggreplays.com/matches/160380, Blueshift LE
https://gggreplays.com/matches/160382, Lost and Found LE
https://gggreplays.com/matches/160235, Fracture LE
https://gggreplays.com/matches/160329, Acid Plant LE
https://gggreplays.com/matches/159960, Blueshift LE
https://gggreplays.com/matches/159959, Blueshift LE
https://gggreplays.com/matches/159957, Cerulean Fall LE
https://gggreplays.com/matches/159954, Lost and Found LE
https://gggreplays.com/matches/159910, Lost and Found LE
https://gggreplays.com/matches/159907, Fracture LE
https://gggreplays.com/matches/159906, Acid Plant LE
https://gggreplays.com/matches/159904, Lost and Found LE
https://gggreplays.com/matches/159902, Fracture LE
https://gggreplays.com/matches/159901, Blueshift LE
https://gggreplays.com/matches/159899, Blueshift LE
https://gggreplays.com/matches/159866, Lost and Found LE
https://gggreplays.com/matches/159864, Fracture LE
https://gggreplays.com/matches/159863, Blueshift LE
https://gggreplays.com/matches/159861, Acid Plant LE
https://gggreplays.com/matches/159795, Lost and Found LE
https://gggreplays.com/matches/159801, Blueshift LE
https://gggreplays.com/matches/159802, Blueshift LE
https://gggreplays.com/matches/159798, Acid Plant LE
https://gggreplays.com/matches/159797, Lost and Found LE
https://gggreplays.com/matches/159796, Blueshift LE
https://gggreplays.com/matches/159803, Acid Plant LE
https://gggreplays.com/matches/159489, Para Site LE
https://gggreplays.com/matches/159471, Blueshift LE
https://gggreplays.com/matches/159463, Blueshift LE
https://gggreplays.com/matches/159465, Cerulean Fall LE
https://gggreplays.com/matches/159399, Dreamcatcher LE
https://gggreplays.com/matches/159260, Blueshift LE
https://gggreplays.com/matches/159326, Lost and Found LE
https://gggreplays.com/matches/159177, Blueshift LE
https://gggreplays.com/matches/159129, Cerulean Fall LE
https://gggreplays.com/matches/159799, Lost and Found LE
https://gggreplays.com/matches/159072, Acid Plant LE
https://gggreplays.com/matches/159056, Fracture LE
https://gggreplays.com/matches/159074, Lost and Found LE
https://gggreplays.com/matches/159075, Fracture LE
https://gggreplays.com/matches/159054, Para Site LE
https://gggreplays.com/matches/159041, Fracture LE
https://gggreplays.com/matches/159038, Blueshift LE
https://gggreplays.com/matches/159800, Acid Plant LE
https://gggreplays.com/matches/159034, Blueshift LE
https://gggreplays.com/matches/159031, Acid Plant LE
https://gggreplays.com/matches/159053, Cerulean Fall LE
https://gggreplays.com/matches/159042, Lost and Found LE
https://gggreplays.com/matches/159027, Lost and Found LE
https://gggreplays.com/matches/159052, Dreamcatcher LE
https://gggreplays.com/matches/159018, Acid Plant LE
https://gggreplays.com/matches/158818, Blueshift LE
https://gggreplays.com/matches/158810, Blueshift LE
https://gggreplays.com/matches/158809, Acid Plant LE
https://gggreplays.com/matches/158804, Dreamcatcher LE
https://gggreplays.com/matches/158802, Lost and Found LE
https://gggreplays.com/matches/158794, Blueshift LE
https://gggreplays.com/matches/158793, Lost and Found LE
https://gggreplays.com/matches/158792, Acid Plant LE
https://gggreplays.com/matches/158790, Para Site LE
https://gggreplays.com/matches/158669, Para Site LE
https://gggreplays.com/matches/158666, Cerulean Fall LE
https://gggreplays.com/matches/158664, Para Site LE
https://gggreplays.com/matches/158658, Para Site LE
https://gggreplays.com/matches/158654, Cerulean Fall LE
https://gggreplays.com/matches/158651, Lost and Found LE
https://gggreplays.com/matches/158646, Cerulean Fall LE
https://gggreplays.com/matches/158635, Blueshift LE
https://gggreplays.com/matches/158631, Blueshift LE
https://gggreplays.com/matches/158627, Lost and Found LE
https://gggreplays.com/matches/158625, Fracture LE
https://gggreplays.com/matches/160673, Cerulean Fall LE
https://gggreplays.com/matches/158582, Para Site LE
https://gggreplays.com/matches/158576, Fracture LE
https://gggreplays.com/matches/158581, Cerulean Fall LE
https://gggreplays.com/matches/158580, Cerulean Fall LE
https://gggreplays.com/matches/158556, Dreamcatcher LE
https://gggreplays.com/matches/158554, Para Site LE
https://gggreplays.com/matches/160671, Acid Plant LE
https://gggreplays.com/matches/158542, Blueshift LE
https://gggreplays.com/matches/160679, Blueshift LE
https://gggreplays.com/matches/158535, Para Site LE
https://gggreplays.com/matches/160672, Cerulean Fall LE
https://gggreplays.com/matches/158531, Acid Plant LE
https://gggreplays.com/matches/158519, Para Site LE
https://gggreplays.com/matches/158509, Fracture LE
https://gggreplays.com/matches/158500, Fracture LE
https://gggreplays.com/matches/158496, Cerulean Fall LE
https://gggreplays.com/matches/158495, Lost and Found LE
https://gggreplays.com/matches/158488, Cerulean Fall LE
https://gggreplays.com/matches/158483, Fracture LE
https://gggreplays.com/matches/158475, Fracture LE
https://gggreplays.com/matches/158220, Blueshift LE
https://gggreplays.com/matches/158221, Dreamcatcher LE
https://gggreplays.com/matches/158222, Lost and Found LE
https://gggreplays.com/matches/158041, Acid Plant LE
https://gggreplays.com/matches/158040, Blueshift LE
https://gggreplays.com/matches/158038, Acid Plant LE
https://gggreplays.com/matches/157977, Lost and Found LE
https://gggreplays.com/matches/157975, Dreamcatcher LE
https://gggreplays.com/matches/157972, Para Site LE
https://gggreplays.com/matches/157965, Blueshift LE
https://gggreplays.com/matches/157963, Blueshift LE
https://gggreplays.com/matches/157958, Fracture LE
https://gggreplays.com/matches/157955, Fracture LE
https://gggreplays.com/matches/157954, Lost and Found LE
https://gggreplays.com/matches/157950, Fracture LE
https://gggreplays.com/matches/157945, Fracture LE
https://gggreplays.com/matches/160683, Para Site LE
https://gggreplays.com/matches/157942, Fracture LE
https://gggreplays.com/matches/157932, Lost and Found LE
https://gggreplays.com/matches/157939, Cerulean Fall LE
https://gggreplays.com/matches/157923, Cerulean Fall LE
https://gggreplays.com/matches/157922, Lost and Found LE
https://gggreplays.com/matches/157907, Para Site LE
https://gggreplays.com/matches/157903, Lost and Found LE
https://gggreplays.com/matches/157902, Blueshift LE
https://gggreplays.com/matches/157892, Lost and Found LE
https://gggreplays.com/matches/157888, Blueshift LE
https://gggreplays.com/matches/157887, Para Site LE
https://gggreplays.com/matches/157878, Lost and Found LE
https://gggreplays.com/matches/157874, Dreamcatcher LE
https://gggreplays.com/matches/157873, Lost and Found LE
https://gggreplays.com/matches/157860, Blueshift LE
https://gggreplays.com/matches/157854, Cerulean Fall LE
https://gggreplays.com/matches/157849, Acid Plant LE
https://gggreplays.com/matches/157836, Lost and Found LE
https://gggreplays.com/matches/157829, Lost and Found LE
https://gggreplays.com/matches/157800, Acid Plant LE
https://gggreplays.com/matches/157785, Blueshift LE
https://gggreplays.com/matches/157783, Blueshift LE
https://gggreplays.com/matches/157777, Fracture LE
https://gggreplays.com/matches/157685, Blueshift LE
https://gggreplays.com/matches/157665, Cerulean Fall LE
https://gggreplays.com/matches/157658, Lost and Found LE
https://gggreplays.com/matches/157450, Lost and Found LE
https://gggreplays.com/matches/157446, Para Site LE
https://gggreplays.com/matches/157444, Lost and Found LE
https://gggreplays.com/matches/157435, Lost and Found LE
