link, map
https://gggreplays.com/matches/160602, Acid Plant LE
https://gggreplays.com/matches/160601, Fracture LE
https://gggreplays.com/matches/160600, Cerulean Fall LE
https://gggreplays.com/matches/160603, Blueshift LE
https://gggreplays.com/matches/160559, Lost and Found LE
https://gggreplays.com/matches/160552, Cerulean Fall LE
https://gggreplays.com/matches/160550, Dreamcatcher LE
https://gggreplays.com/matches/160557, Fracture LE
https://gggreplays.com/matches/160548, Fracture LE
https://gggreplays.com/matches/160546, Cerulean Fall LE
https://gggreplays.com/matches/160561, Lost and Found LE
https://gggreplays.com/matches/160520, Para Site LE
https://gggreplays.com/matches/160558, Acid Plant LE
https://gggreplays.com/matches/160537, Para Site LE
https://gggreplays.com/matches/160560, Lost and Found LE
https://gggreplays.com/matches/160483, Para Site LE
https://gggreplays.com/matches/160452, Para Site LE
https://gggreplays.com/matches/160461, Fracture LE
https://gggreplays.com/matches/160451, Dreamcatcher LE
https://gggreplays.com/matches/160453, Para Site LE
https://gggreplays.com/matches/160457, Cerulean Fall LE
https://gggreplays.com/matches/160450, Dreamcatcher LE
https://gggreplays.com/matches/160460, Blueshift LE
https://gggreplays.com/matches/160454, Lost and Found LE
https://gggreplays.com/matches/160462, Lost and Found LE
https://gggreplays.com/matches/160442, Blueshift LE
https://gggreplays.com/matches/160443, Acid Plant LE
https://gggreplays.com/matches/160438, Cerulean Fall LE
https://gggreplays.com/matches/160436, Fracture LE
https://gggreplays.com/matches/160429, Para Site LE
https://gggreplays.com/matches/160431, Cerulean Fall LE
https://gggreplays.com/matches/160432, Lost and Found LE
https://gggreplays.com/matches/160422, Lost and Found LE
https://gggreplays.com/matches/160404, Acid Plant LE
https://gggreplays.com/matches/160400, Acid Plant LE
https://gggreplays.com/matches/160396, Acid Plant LE
https://gggreplays.com/matches/160393, Blueshift LE
https://gggreplays.com/matches/160392, Para Site LE
https://gggreplays.com/matches/160388, Para Site LE
https://gggreplays.com/matches/160387, Blueshift LE
https://gggreplays.com/matches/160369, Blueshift LE
https://gggreplays.com/matches/160368, Acid Plant LE
https://gggreplays.com/matches/160374, Dreamcatcher LE
https://gggreplays.com/matches/160370, Acid Plant LE
https://gggreplays.com/matches/160338, Fracture LE
https://gggreplays.com/matches/160336, Blueshift LE
https://gggreplays.com/matches/160337, Acid Plant LE
https://gggreplays.com/matches/160335, Para Site LE
https://gggreplays.com/matches/160330, Lost and Found LE
https://gggreplays.com/matches/160318, Fracture LE
https://gggreplays.com/matches/160317, Lost and Found LE
https://gggreplays.com/matches/160326, Fracture LE
https://gggreplays.com/matches/160334, Dreamcatcher LE
https://gggreplays.com/matches/160331, Blueshift LE
https://gggreplays.com/matches/160316, Lost and Found LE
https://gggreplays.com/matches/160289, Acid Plant LE
https://gggreplays.com/matches/160287, Acid Plant LE
https://gggreplays.com/matches/160285, Acid Plant LE
https://gggreplays.com/matches/160282, Acid Plant LE
https://gggreplays.com/matches/160283, Para Site LE
https://gggreplays.com/matches/160280, Blueshift LE
https://gggreplays.com/matches/160292, Acid Plant LE
https://gggreplays.com/matches/160291, Lost and Found LE
https://gggreplays.com/matches/160273, Acid Plant LE
